Province,City,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4
BC,Terrace,5,15,15,10,25,30,15,35,25,30,15,10,35,25,15,10,15,25,15,15,10,5,5,10
BC,Cranbrook,15,25,20,10,30,20,15,5,25,20,25,25,20,15,25,15,10,20,20,20,30,5,5,0
BC,Salmon Arm,5,10,10,5,15,15,15,30,10,15,10,10,15,10,35,25,5,5,25,15,15,5,5,5
BC,Quesnel,10,10,20,10,10,20,10,10,15,20,10,10,5,25,10,15,5,10,20,10,5,5,0,0
BC,Port Alberni,5,10,5,10,10,15,10,5,10,5,0,0,15,10,10,5,10,10,20,0,10,5,5,5
BC,Prince Rupert,10,5,10,5,10,5,15,5,15,10,10,5,10,20,10,5,5,15,15,10,10,0,0,10
BC,Williams Lake,15,20,30,15,20,20,20,5,20,25,15,15,25,15,15,10,10,10,10,15,10,15,0,0
BC,Powell River,0,10,5,0,0,25,5,0,5,5,5,15,10,25,5,10,10,15,10,5,10,0,0,0
BC,Parksville,10,20,10,10,20,5,20,10,5,20,10,15,5,20,10,20,5,10,15,5,10,10,0,10
BC,Other,270,430,495,355,460,550,350,300,525,545,370,445,550,480,525,470,375,570,695,570,455,270,195,220
YK,Whitehorse,50,65,90,35,55,40,40,45,55,40,40,30,80,65,55,50,60,100,110,85,80,25,35,25
YK,Territories ,5,10,5,5,10,10,0,5,15,20,5,5,15,15,10,10,5,10,20,10,10,0,0,0
YK,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NT,Yellowknife,20,55,55,40,45,50,30,35,70,50,30,35,90,55,50,45,50,50,35,30,35,25,15,20
NT,Territories,5,10,10,5,5,10,0,10,15,15,10,10,10,5,5,10,0,10,10,5,10,0,5,5
NT,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NU,Territories,10,10,5,10,15,10,10,0,10,15,0,15,10,5,0,10,5,5,10,20,10,0,0,10
NU,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,10,10,30,30,10,20,15,5,10,15,5,5,0,5,0,0,0,0,0,10,0,0,0,0
