Province,Code,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4
QC,O,4760,6400,6800,7135,7580,7290,6915,4775,6910,7875,6825,5180,6010,6670,7530,6445,4505,5380,5640,5295,4355,2150,3535,5005
SK,A,115,195,210,120,165,235,275,165,195,285,330,215,275,380,405,180,190,320,575,370,305,135,195,40
SK,B,250,445,550,280,465,530,260,285,565,550,460,335,890,725,495,340,355,550,950,495,420,135,205,225
SK,C,105,165,105,35,80,75,35,40,65,35,15,10,60,50,60,10,45,40,75,20,15,0,10,10
SK,D,115,190,190,95,185,200,55,80,130,65,30,25,95,40,25,10,15,10,15,5,0,0,0,0
SK,O,1020,1515,1480,1375,1775,2035,1665,1290,1865,1965,1820,1170,1590,1895,1895,1490,1420,1815,2170,1525,1305,505,705,640
YK,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YK,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0
YK,C,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,10,0,0,0,0,0
YK,D,5,10,10,0,5,0,5,5,15,0,0,10,15,10,5,0,0,15,35,10,10,0,5,0
YK,O,25,25,40,20,30,25,25,25,35,35,20,15,25,30,30,35,35,50,45,40,35,10,15,15
NA,NA,5,5,20,25,5,15,15,0,10,10,5,5,0,0,0,0,0,0,0,5,0,0,0,0
