Province,Age,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4
BC,75+,60,85,80,75,80,115,110,130,120,210,110,95,105,180,95,125,140,230,110,140,95,25,55,60
YK,0-14,10,15,15,5,15,10,10,5,0,10,5,0,5,15,5,10,0,15,15,5,15,0,0,0
YK,15-29,15,25,30,15,20,15,15,15,30,25,20,10,45,25,30,25,20,50,50,35,25,10,10,15
YK,30-44,25,25,40,15,25,25,15,25,35,20,25,20,40,40,25,25,35,40,50,40,40,10,20,5
YK,45-59,5,5,5,0,5,0,0,0,0,10,0,0,0,0,0,0,0,5,10,10,10,0,0,0
YK,60-74,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0
YK,75+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NT,0-14,0,20,15,5,0,5,5,5,0,15,5,10,15,10,5,0,15,0,10,0,10,0,0,10
NT,15-29,5,20,20,10,15,20,10,15,25,15,15,15,50,25,20,30,25,25,20,20,10,15,0,10
NT,30-44,15,20,30,25,30,25,10,15,40,30,15,20,35,25,20,15,10,15,15,10,20,10,5,0
NT,45-59,5,10,5,0,5,5,5,0,20,10,0,5,5,0,10,5,0,5,0,0,0,0,0,0
NT,60-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0
NT,75+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NU,0-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
NU,15-29,0,5,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,5,0,0,0
NU,30-44,5,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0
NU,45-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NU,60-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NU,75+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,10,10,30,30,10,20,15,5,10,15,5,5,0,5,0,0,0,0,0,10,0,0,0,0
